record_id,farm_id,animal_id,drug_name,drug_class,dose_mg,treatment_days,days_after_treatment,residue_mg_per_kg,mrl_limit_mg_per_kg,violation_flag,test_date
1,10,367,Sulfonamide,Sulfonamide,706,6,8,0.0985,0.1,0,2025-06-09
2,18,681,Penicillin,Beta-lactam,786,7,9,0.0505,0.005,1,2025-08-27
3,30,1163,Penicillin,Beta-lactam,195,7,8,0.0146,0.005,1,2025-06-08
4,36,1402,Gentamicin,Aminoglycoside,581,2,4,0.0935,0.01,1,2025-11-12
5,14,529,Enrofloxacin,Fluoroquinolone,501,2,6,0.1076,0.002,1,2025-06-16
6,24,929,Gentamicin,Aminoglycoside,130,1,8,0.01,0.01,0,2025-09-03
7,24,945,Penicillin,Beta-lactam,389,7,6,0.0716,0.005,1,2025-03-07
8,27,1041,Oxytetracycline,Tetracycline,515,7,2,0.2127,0.01,1,2025-11-29
9,4,146,Enrofloxacin,Fluoroquinolone,645,4,7,0.1005,0.002,1,2025-05-03
10,32,1272,Penicillin,Beta-lactam,661,2,8,0.073,0.005,1,2025-06-24
11,11,427,Sulfonamide,Sulfonamide,541,7,7,0.0825,0.1,0,2025-06-25
12,28,1116,Penicillin,Beta-lactam,277,6,2,0.1717,0.005,1,2025-12-31
13,30,1176,Gentamicin,Aminoglycoside,217,5,10,0.0209,0.01,1,2025-10-12
14,5,200,Gentamicin,Aminoglycoside,280,3,7,0.0228,0.01,1,2025-02-25
15,36,1404,Sulfonamide,Sulfonamide,488,3,8,0.0698,0.1,0,2025-02-01
16,5,186,Penicillin,Beta-lactam,242,5,1,0.3042,0.005,1,2025-12-05
17,8,306,Gentamicin,Aminoglycoside,644,3,7,0.1026,0.01,1,2025-08-17
18,11,401,Penicillin,Beta-lactam,797,3,5,0.1706,0.005,1,2025-12-14
19,16,624,Gentamicin,Aminoglycoside,452,1,10,0.023,0.01,1,2025-09-19
20,21,828,Penicillin,Beta-lactam,401,1,6,0.0936,0.005,1,2025-01-28
21,1,2,Sulfonamide,Sulfonamide,467,1,5,0.1276,0.1,1,2025-05-01
22,23,885,Sulfonamide,Sulfonamide,503,6,6,0.1016,0.1,1,2025-07-27
23,20,782,Gentamicin,Aminoglycoside,658,2,3,0.2138,0.01,1,2025-04-07
24,29,1138,Gentamicin,Aminoglycoside,468,7,7,0.0437,0.01,1,2025-12-10
25,7,258,Penicillin,Beta-lactam,111,1,1,0.0715,0.005,1,2025-09-07
26,34,1348,Gentamicin,Aminoglycoside,239,1,3,0.091,0.01,1,2025-08-01
27,45,1762,Gentamicin,Aminoglycoside,718,4,10,0.0488,0.01,1,2025-09-18
28,22,869,Sulfonamide,Sulfonamide,560,4,6,0.0677,0.1,0,2025-08-06
29,31,1239,Oxytetracycline,Tetracycline,691,4,4,0.2094,0.01,1,2025-05-18
30,22,842,Sulfonamide,Sulfonamide,690,3,1,1.02,0.1,1,2025-10-18
31,25,990,Enrofloxacin,Fluoroquinolone,215,5,8,0.0393,0.002,1,2025-02-10
32,8,291,Sulfonamide,Sulfonamide,386,4,9,0.0248,0.1,0,2025-11-09
33,5,182,Penicillin,Beta-lactam,583,6,2,0.3452,0.005,1,2025-10-04
34,41,1635,Sulfonamide,Sulfonamide,419,5,1,0.5881,0.1,1,2025-10-01
35,40,1595,Oxytetracycline,Tetracycline,580,4,9,0.0906,0.01,1,2025-10-21
36,38,1503,Enrofloxacin,Fluoroquinolone,531,3,5,0.0838,0.002,1,2025-01-19
37,36,1424,Sulfonamide,Sulfonamide,411,6,10,0.0313,0.1,0,2025-11-19
38,25,970,Sulfonamide,Sulfonamide,273,5,1,0.3157,0.1,1,2025-05-30
39,42,1657,Sulfonamide,Sulfonamide,127,3,8,0.0092,0.1,0,2025-09-16
